comparison,left_variant,right_variant,sample_set,metric,left_value,right_value,delta_left_minus_right,lower_is_better,status
film_mean_patch_aux - visual_mean_patch_only,film_mean_patch_aux,visual_mean_patch_only,pilot_test,raw_soft_MAE_mean,0.4178239136798498,0.4529755004271802,-0.03515158674733043,True,ok
film_mean_patch_aux - visual_mean_patch_only,film_mean_patch_aux,visual_mean_patch_only,pilot_test,raw_soft_MSE_mean,183.35398509131247,303.4864915174055,-120.13250642609304,True,ok
film_mean_patch_aux - visual_mean_patch_only,film_mean_patch_aux,visual_mean_patch_only,pilot_test,raw_soft_regret_mean,0.0775389896670886,0.1126905764144191,-0.0351515867473305,True,ok
film_mean_patch_aux - visual_mean_patch_only,film_mean_patch_aux,visual_mean_patch_only,pilot_test,raw_soft_MAE_std,0.0006571035266904,0.0446248065212108,-0.0439677029945204,True,ok
film_mean_patch_aux - visual_mean_patch_only,film_mean_patch_aux,visual_mean_patch_only,pilot_test,hard_top1_MAE_mean,0.4318506274050567,0.4634898344164466,-0.03163920701138989,True,ok
film_mean_patch_aux - visual_mean_patch_only,film_mean_patch_aux,visual_mean_patch_only,pilot_test,hard_top1_MSE_mean,183.4774113179798,334.7514845000663,-151.27407318208648,True,ok
film_mean_patch_aux - visual_mean_patch_only,film_mean_patch_aux,visual_mean_patch_only,pilot_test,hard_top1_regret_mean,0.0915657033922955,0.1232049104036854,-0.031639207011389905,True,ok
film_mean_patch_aux - visual_mean_patch_only,film_mean_patch_aux,visual_mean_patch_only,pilot_test,hard_top1_oracle_label_accuracy_mean,0.51556,0.3377822222222222,0.1777777777777778,False,ok
film_mean_patch_aux - visual_mean_patch_only,film_mean_patch_aux,visual_mean_patch_only,pilot_test,weight_entropy_mean,1.1222319548589617,1.1438724509206166,-0.021640496061654968,False,ok
film_mean_patch_aux - visual_mean_patch_only,film_mean_patch_aux,visual_mean_patch_only,pilot_test,normalized_weight_entropy_mean,0.6972819058862673,0.7107279015050606,-0.013445995618793338,False,ok
film_mean_patch_aux - visual_mean_patch_only,film_mean_patch_aux,visual_mean_patch_only,pilot_test,mean_max_weight_mean,0.5145078966481155,0.5054013593627347,0.0091065372853808,False,ok
film_mean_patch_aux - mean_patch_plus_aux,film_mean_patch_aux,mean_patch_plus_aux,pilot_test,raw_soft_MAE_mean,0.4178239136798498,0.5161075230654948,-0.09828360938564501,True,ok
film_mean_patch_aux - mean_patch_plus_aux,film_mean_patch_aux,mean_patch_plus_aux,pilot_test,raw_soft_MSE_mean,183.35398509131247,486.1025190318065,-302.748533940494,True,ok
film_mean_patch_aux - mean_patch_plus_aux,film_mean_patch_aux,mean_patch_plus_aux,pilot_test,raw_soft_regret_mean,0.0775389896670886,0.1758225990527336,-0.098283609385645,True,ok
film_mean_patch_aux - mean_patch_plus_aux,film_mean_patch_aux,mean_patch_plus_aux,pilot_test,raw_soft_MAE_std,0.0006571035266904,0.0480812905096002,-0.0474241869829098,True,ok
film_mean_patch_aux - mean_patch_plus_aux,film_mean_patch_aux,mean_patch_plus_aux,pilot_test,hard_top1_MAE_mean,0.4318506274050567,0.5312468607292358,-0.09939623332417907,True,ok
film_mean_patch_aux - mean_patch_plus_aux,film_mean_patch_aux,mean_patch_plus_aux,pilot_test,hard_top1_MSE_mean,183.4774113179798,486.3468289209466,-302.8694176029668,True,ok
film_mean_patch_aux - mean_patch_plus_aux,film_mean_patch_aux,mean_patch_plus_aux,pilot_test,hard_top1_regret_mean,0.0915657033922955,0.1909619367164745,-0.09939623332417899,True,ok
film_mean_patch_aux - mean_patch_plus_aux,film_mean_patch_aux,mean_patch_plus_aux,pilot_test,hard_top1_oracle_label_accuracy_mean,0.51556,0.4291955555555555,0.08636444444444452,False,ok
film_mean_patch_aux - mean_patch_plus_aux,film_mean_patch_aux,mean_patch_plus_aux,pilot_test,weight_entropy_mean,1.1222319548589617,1.121208686493701,0.0010232683652606767,False,ok
film_mean_patch_aux - mean_patch_plus_aux,film_mean_patch_aux,mean_patch_plus_aux,pilot_test,normalized_weight_entropy_mean,0.6972819058862673,0.6966461175245534,0.0006357883617138516,False,ok
film_mean_patch_aux - mean_patch_plus_aux,film_mean_patch_aux,mean_patch_plus_aux,pilot_test,mean_max_weight_mean,0.5145078966481155,0.5149888529605335,-0.00048095631241806824,False,ok
film_mean_patch_aux - visual_cls_mean_concat,film_mean_patch_aux,visual_cls_mean_concat,pilot_test,raw_soft_MAE_mean,0.4178239136798498,0.4430617988970811,-0.025237885217231304,True,ok
film_mean_patch_aux - visual_cls_mean_concat,film_mean_patch_aux,visual_cls_mean_concat,pilot_test,raw_soft_MSE_mean,183.35398509131247,244.23848718010012,-60.884502088787656,True,ok
film_mean_patch_aux - visual_cls_mean_concat,film_mean_patch_aux,visual_cls_mean_concat,pilot_test,raw_soft_regret_mean,0.0775389896670886,0.1027768748843199,-0.025237885217231304,True,ok
film_mean_patch_aux - visual_cls_mean_concat,film_mean_patch_aux,visual_cls_mean_concat,pilot_test,raw_soft_MAE_std,0.0006571035266904,0.0214192547880282,-0.0207621512613378,True,ok
film_mean_patch_aux - visual_cls_mean_concat,film_mean_patch_aux,visual_cls_mean_concat,pilot_test,hard_top1_MAE_mean,0.4318506274050567,0.4509687858272665,-0.01911815842220982,True,ok
film_mean_patch_aux - visual_cls_mean_concat,film_mean_patch_aux,visual_cls_mean_concat,pilot_test,hard_top1_MSE_mean,183.4774113179798,257.26591031648513,-73.78849899850533,True,ok
film_mean_patch_aux - visual_cls_mean_concat,film_mean_patch_aux,visual_cls_mean_concat,pilot_test,hard_top1_regret_mean,0.0915657033922955,0.1106838618145053,-0.019118158422209805,True,ok
film_mean_patch_aux - visual_cls_mean_concat,film_mean_patch_aux,visual_cls_mean_concat,pilot_test,hard_top1_oracle_label_accuracy_mean,0.51556,0.5173288888888888,-0.00176888888888882,False,ok
film_mean_patch_aux - visual_cls_mean_concat,film_mean_patch_aux,visual_cls_mean_concat,pilot_test,weight_entropy_mean,1.1222319548589617,1.1220432741412136,0.0001886807177480243,False,ok
film_mean_patch_aux - visual_cls_mean_concat,film_mean_patch_aux,visual_cls_mean_concat,pilot_test,normalized_weight_entropy_mean,0.6972819058862673,0.6971646701262432,0.00011723576002409253,False,ok
film_mean_patch_aux - visual_cls_mean_concat,film_mean_patch_aux,visual_cls_mean_concat,pilot_test,mean_max_weight_mean,0.5145078966481155,0.5243373336940342,-0.009829437045918765,False,ok
film_mean_patch_aux - cls_mean_concat_plus_aux,film_mean_patch_aux,cls_mean_concat_plus_aux,pilot_test,raw_soft_MAE_mean,0.4178239136798498,0.4529417645746718,-0.035117850894822,True,ok
film_mean_patch_aux - cls_mean_concat_plus_aux,film_mean_patch_aux,cls_mean_concat_plus_aux,pilot_test,raw_soft_MSE_mean,183.35398509131247,245.4594745087435,-62.105489417431045,True,ok
film_mean_patch_aux - cls_mean_concat_plus_aux,film_mean_patch_aux,cls_mean_concat_plus_aux,pilot_test,raw_soft_regret_mean,0.0775389896670886,0.1126568405619105,-0.0351178508948219,True,ok
film_mean_patch_aux - cls_mean_concat_plus_aux,film_mean_patch_aux,cls_mean_concat_plus_aux,pilot_test,raw_soft_MAE_std,0.0006571035266904,0.0394445598595353,-0.0387874563328449,True,ok
film_mean_patch_aux - cls_mean_concat_plus_aux,film_mean_patch_aux,cls_mean_concat_plus_aux,pilot_test,hard_top1_MAE_mean,0.4318506274050567,0.4673195251496339,-0.03546889774457718,True,ok
film_mean_patch_aux - cls_mean_concat_plus_aux,film_mean_patch_aux,cls_mean_concat_plus_aux,pilot_test,hard_top1_MSE_mean,183.4774113179798,245.62578100531164,-62.14836968733184,True,ok
film_mean_patch_aux - cls_mean_concat_plus_aux,film_mean_patch_aux,cls_mean_concat_plus_aux,pilot_test,hard_top1_regret_mean,0.0915657033922955,0.1270346011368727,-0.035468897744577205,True,ok
film_mean_patch_aux - cls_mean_concat_plus_aux,film_mean_patch_aux,cls_mean_concat_plus_aux,pilot_test,hard_top1_oracle_label_accuracy_mean,0.51556,0.43236,0.0832,False,ok
film_mean_patch_aux - cls_mean_concat_plus_aux,film_mean_patch_aux,cls_mean_concat_plus_aux,pilot_test,weight_entropy_mean,1.1222319548589617,1.1123453698185082,0.009886585040453477,False,ok
film_mean_patch_aux - cls_mean_concat_plus_aux,film_mean_patch_aux,cls_mean_concat_plus_aux,pilot_test,normalized_weight_entropy_mean,0.6972819058862673,0.6911390226180009,0.006142883268266397,False,ok
film_mean_patch_aux - cls_mean_concat_plus_aux,film_mean_patch_aux,cls_mean_concat_plus_aux,pilot_test,mean_max_weight_mean,0.5145078966481155,0.5212591012748082,-0.006751204626692764,False,ok
film_mean_patch_aux - round0_timefuse,film_mean_patch_aux,round0_timefuse,pilot_test,raw_soft_MAE_mean,0.4178239136798498,0.5352202928627874,-0.1173963791829376,True,ok
film_mean_patch_aux - round0_timefuse,film_mean_patch_aux,round0_timefuse,pilot_test,raw_soft_MSE_mean,183.35398509131247,568.5024010523083,-385.14841596099586,True,ok
film_mean_patch_aux - round0_timefuse,film_mean_patch_aux,round0_timefuse,pilot_test,raw_soft_regret_mean,0.0775389896670886,0.1949353688500262,-0.11739637918293762,True,ok
film_mean_patch_aux - round0_timefuse,film_mean_patch_aux,round0_timefuse,pilot_test,raw_soft_MAE_std,0.0006571035266904,0.0,0.0006571035266904,True,ok
film_mean_patch_aux - round0_timefuse,film_mean_patch_aux,round0_timefuse,pilot_test,hard_top1_MAE_mean,0.4318506274050567,0.5474324226661174,-0.11558179526106066,True,ok
film_mean_patch_aux - round0_timefuse,film_mean_patch_aux,round0_timefuse,pilot_test,hard_top1_MSE_mean,183.4774113179798,568.559824744805,-385.08241342682527,True,ok
film_mean_patch_aux - round0_timefuse,film_mean_patch_aux,round0_timefuse,pilot_test,hard_top1_regret_mean,0.0915657033922955,0.2071474986533563,-0.1155817952610608,True,ok
film_mean_patch_aux - round0_timefuse,film_mean_patch_aux,round0_timefuse,pilot_test,hard_top1_oracle_label_accuracy_mean,0.51556,0.58724,-0.07167999999999997,False,ok
film_mean_patch_aux - round0_timefuse,film_mean_patch_aux,round0_timefuse,pilot_test,weight_entropy_mean,1.1222319548589617,0.7304382873762053,0.39179366748275635,False,ok
film_mean_patch_aux - round0_timefuse,film_mean_patch_aux,round0_timefuse,pilot_test,normalized_weight_entropy_mean,0.6972819058862673,0.4538468183609244,0.24343508752534287,False,ok
film_mean_patch_aux - round0_timefuse,film_mean_patch_aux,round0_timefuse,pilot_test,mean_max_weight_mean,0.5145078966481155,0.701544363599817,-0.1870364669517015,False,ok
film_cls_mean_concat_aux - visual_cls_mean_concat,film_cls_mean_concat_aux,visual_cls_mean_concat,pilot_test,raw_soft_MAE_mean,0.4195683064347192,0.4430617988970811,-0.023493492462361876,True,ok
film_cls_mean_concat_aux - visual_cls_mean_concat,film_cls_mean_concat_aux,visual_cls_mean_concat,pilot_test,raw_soft_MSE_mean,183.46384554568647,244.23848718010012,-60.774641634413655,True,ok
film_cls_mean_concat_aux - visual_cls_mean_concat,film_cls_mean_concat_aux,visual_cls_mean_concat,pilot_test,raw_soft_regret_mean,0.079283382421958,0.1027768748843199,-0.023493492462361903,True,ok
film_cls_mean_concat_aux - visual_cls_mean_concat,film_cls_mean_concat_aux,visual_cls_mean_concat,pilot_test,raw_soft_MAE_std,0.0018501177372985,0.0214192547880282,-0.019569137050729702,True,ok
film_cls_mean_concat_aux - visual_cls_mean_concat,film_cls_mean_concat_aux,visual_cls_mean_concat,pilot_test,hard_top1_MAE_mean,0.4346106868560335,0.4509687858272665,-0.016358098971233026,True,ok
film_cls_mean_concat_aux - visual_cls_mean_concat,film_cls_mean_concat_aux,visual_cls_mean_concat,pilot_test,hard_top1_MSE_mean,183.61401319764653,257.26591031648513,-73.6518971188386,True,ok
film_cls_mean_concat_aux - visual_cls_mean_concat,film_cls_mean_concat_aux,visual_cls_mean_concat,pilot_test,hard_top1_regret_mean,0.0943257628432723,0.1106838618145053,-0.016358098971233,True,ok
film_cls_mean_concat_aux - visual_cls_mean_concat,film_cls_mean_concat_aux,visual_cls_mean_concat,pilot_test,hard_top1_oracle_label_accuracy_mean,0.4266177777777777,0.5173288888888888,-0.09071111111111113,False,ok
film_cls_mean_concat_aux - visual_cls_mean_concat,film_cls_mean_concat_aux,visual_cls_mean_concat,pilot_test,weight_entropy_mean,1.1129164979766648,1.1220432741412136,-0.009126776164548822,False,ok
film_cls_mean_concat_aux - visual_cls_mean_concat,film_cls_mean_concat_aux,visual_cls_mean_concat,pilot_test,normalized_weight_entropy_mean,0.6914938888199771,0.6971646701262432,-0.005670781306266082,False,ok
film_cls_mean_concat_aux - visual_cls_mean_concat,film_cls_mean_concat_aux,visual_cls_mean_concat,pilot_test,mean_max_weight_mean,0.5175679433654414,0.5243373336940342,-0.006769390328592806,False,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,pilot_test,raw_soft_MAE_mean,0.4195683064347192,0.4529417645746718,-0.03337345813995257,True,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,pilot_test,raw_soft_MSE_mean,183.46384554568647,245.4594745087435,-61.995628963057044,True,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,pilot_test,raw_soft_regret_mean,0.079283382421958,0.1126568405619105,-0.0333734581399525,True,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,pilot_test,raw_soft_MAE_std,0.0018501177372985,0.0394445598595353,-0.0375944421222368,True,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,pilot_test,hard_top1_MAE_mean,0.4346106868560335,0.4673195251496339,-0.032708838293600384,True,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,pilot_test,hard_top1_MSE_mean,183.61401319764653,245.62578100531164,-62.01176780766511,True,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,pilot_test,hard_top1_regret_mean,0.0943257628432723,0.1270346011368727,-0.0327088382936004,True,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,pilot_test,hard_top1_oracle_label_accuracy_mean,0.4266177777777777,0.43236,-0.005742222222222315,False,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,pilot_test,weight_entropy_mean,1.1129164979766648,1.1123453698185082,0.0005711281581566308,False,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,pilot_test,normalized_weight_entropy_mean,0.6914938888199771,0.6911390226180009,0.00035486620197622276,False,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,pilot_test,mean_max_weight_mean,0.5175679433654414,0.5212591012748082,-0.0036911579093668045,False,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,raw_soft_MAE_mean,0.4195683064347192,0.5352202928627874,-0.11565198642806818,True,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,raw_soft_MSE_mean,183.46384554568647,568.5024010523083,-385.03855550662183,True,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,raw_soft_regret_mean,0.079283382421958,0.1949353688500262,-0.11565198642806822,True,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,raw_soft_MAE_std,0.0018501177372985,0.0,0.0018501177372985,True,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,hard_top1_MAE_mean,0.4346106868560335,0.5474324226661174,-0.11282173581008387,True,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,hard_top1_MSE_mean,183.61401319764653,568.559824744805,-384.94581154715854,True,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,hard_top1_regret_mean,0.0943257628432723,0.2071474986533563,-0.11282173581008399,True,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,hard_top1_oracle_label_accuracy_mean,0.4266177777777777,0.58724,-0.16062222222222228,False,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,weight_entropy_mean,1.1129164979766648,0.7304382873762053,0.3824782106004595,False,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,normalized_weight_entropy_mean,0.6914938888199771,0.4538468183609244,0.2376470704590527,False,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,mean_max_weight_mean,0.5175679433654414,0.701544363599817,-0.18397642023437555,False,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,raw_soft_MAE_mean,0.4430617988970811,0.5352202928627874,-0.0921584939657063,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,raw_soft_MSE_mean,244.23848718010012,568.5024010523083,-324.26391387220815,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,raw_soft_regret_mean,0.1027768748843199,0.1949353688500262,-0.09215849396570631,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,raw_soft_MAE_std,0.0214192547880282,0.0,0.0214192547880282,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,hard_top1_MAE_mean,0.4509687858272665,0.5474324226661174,-0.09646363683885084,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,hard_top1_MSE_mean,257.26591031648513,568.559824744805,-311.2939144283199,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,hard_top1_regret_mean,0.1106838618145053,0.2071474986533563,-0.096463636838851,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,hard_top1_oracle_label_accuracy_mean,0.5173288888888888,0.58724,-0.06991111111111115,False,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,weight_entropy_mean,1.1220432741412136,0.7304382873762053,0.3916049867650083,False,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,normalized_weight_entropy_mean,0.6971646701262432,0.4538468183609244,0.24331785176531878,False,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,mean_max_weight_mean,0.5243373336940342,0.701544363599817,-0.17720702990578274,False,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,raw_soft_MAE_mean,0.4529417645746718,0.5352202928627874,-0.0822785282881156,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,raw_soft_MSE_mean,245.4594745087435,568.5024010523083,-323.0429265435648,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,raw_soft_regret_mean,0.1126568405619105,0.1949353688500262,-0.08227852828811572,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,raw_soft_MAE_std,0.0394445598595353,0.0,0.0394445598595353,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,hard_top1_MAE_mean,0.4673195251496339,0.5474324226661174,-0.08011289751648348,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,hard_top1_MSE_mean,245.62578100531164,568.559824744805,-322.9340437394934,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,hard_top1_regret_mean,0.1270346011368727,0.2071474986533563,-0.0801128975164836,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,hard_top1_oracle_label_accuracy_mean,0.43236,0.58724,-0.15487999999999996,False,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,weight_entropy_mean,1.1123453698185082,0.7304382873762053,0.38190708244230287,False,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,normalized_weight_entropy_mean,0.6911390226180009,0.4538468183609244,0.23729220425707648,False,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,mean_max_weight_mean,0.5212591012748082,0.701544363599817,-0.18028526232500874,False,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,raw_soft_MAE_mean,0.5161075230654948,0.4529755004271802,0.06313202263831458,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,raw_soft_MSE_mean,486.1025190318065,303.4864915174055,182.61602751440097,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,raw_soft_regret_mean,0.1758225990527336,0.1126905764144191,0.0631320226383145,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,raw_soft_MAE_std,0.0480812905096002,0.0446248065212108,0.0034564839883894014,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,hard_top1_MAE_mean,0.5312468607292358,0.4634898344164466,0.06775702631278918,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,hard_top1_MSE_mean,486.3468289209466,334.7514845000663,151.59534442088034,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,hard_top1_regret_mean,0.1909619367164745,0.1232049104036854,0.06775702631278908,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,hard_top1_oracle_label_accuracy_mean,0.4291955555555555,0.3377822222222222,0.09141333333333329,False,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,weight_entropy_mean,1.121208686493701,1.1438724509206166,-0.022663764426915645,False,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,normalized_weight_entropy_mean,0.6966461175245534,0.7107279015050606,-0.01408178398050719,False,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,mean_max_weight_mean,0.5149888529605335,0.5054013593627347,0.009587493597798868,False,ok
