sample_set,variant,calibration_method,comparison,MAE_calibrated,MAE_baseline,delta_MAE,MSE_calibrated,MSE_baseline,delta_MSE,regret_calibrated,regret_baseline,delta_regret,lower_is_better
pilot_test,cls_mean_concat_plus_aux,power_temperature_T0p85,final_test_calibrated_minus_original,0.45260113430868026,0.4529417645746718,-0.000340630265991515,245.47862293680137,245.4594745087435,0.019148428057860656,0.11231621029591914,0.1126568405619105,-0.00034063026599136237,True
pilot_test,cls_mean_concat_plus_aux,power_temperature_T0p85,final_test_calibrated_minus_round0_timefuse,0.45260113430868026,0.5352202928627874,-0.08261915855410712,245.47862293680137,568.5024010523083,-323.02377811550696,0.11231621029591914,0.1949353688500262,-0.08261915855410708,True
pilot_test,cls_mean_concat_plus_aux,power_temperature_T0p85,final_test_calibrated_minus_round0_original_visual,0.45260113430868026,0.6030090914993991,-0.1504079571907188,245.47862293680137,510.97595197005967,-265.4973290332583,0.11231621029591914,0.2627241674866379,-0.15040795719071876,True
pilot_test,cls_mean_concat_plus_aux,power_temperature_T0p85,final_test_calibrated_minus_visual_cls_mean_concat,0.45260113430868026,0.4430617988970811,0.009539335411599181,245.47862293680137,244.2384871801001,1.240135756701278,0.11231621029591914,0.1027768748843199,0.009539335411599237,True
pilot_test,cls_mean_concat_plus_aux,power_temperature_T0p85,final_test_calibrated_minus_global_best_single,0.45260113430868026,0.5997444264696841,-0.1471432921610038,245.47862293680137,,,0.11231621029591914,0.2594595024569229,-0.14714329216100375,True
pilot_test,cls_mean_concat_plus_aux,power_temperature_T0p85,final_test_calibrated_minus_oracle_top1,0.45260113430868026,0.3402849240127611,0.11231621029591915,245.47862293680137,,,0.11231621029591914,0.0,0.11231621029591914,True
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p85,selection_calibrated_minus_original,0.30040384860781183,0.3006053011187164,-0.00020145251090458727,1.2144169001823597,1.2054006238127106,0.009016276369649079,0.033672644975753264,0.03387409748665784,-0.0002014525109045734,True
pilot_test,film_cls_mean_concat_aux,power_temperature_T0p85,final_test_calibrated_minus_original,0.41925908774070025,0.4195683064347192,-0.0003092186940189534,183.47810415155368,183.46384554568647,0.014258605867212282,0.078974163727939,0.079283382421958,-0.00030921869401899504,True
pilot_test,film_cls_mean_concat_aux,power_temperature_T0p85,final_test_calibrated_minus_round0_timefuse,0.41925908774070025,0.5352202928627874,-0.11596120512208713,183.47810415155368,568.5024010523083,-385.0242969007546,0.078974163727939,0.1949353688500262,-0.11596120512208721,True
pilot_test,film_cls_mean_concat_aux,power_temperature_T0p85,final_test_calibrated_minus_round0_original_visual,0.41925908774070025,0.6030090914993991,-0.18375000375869882,183.47810415155368,510.97595197005967,-327.497847818506,0.078974163727939,0.2627241674866379,-0.1837500037586989,True
pilot_test,film_cls_mean_concat_aux,power_temperature_T0p85,final_test_calibrated_minus_visual_cls_mean_concat,0.41925908774070025,0.4430617988970811,-0.02380271115638083,183.47810415155368,244.2384871801001,-60.760383028546414,0.078974163727939,0.1027768748843199,-0.0238027111563809,True
pilot_test,film_cls_mean_concat_aux,power_temperature_T0p85,final_test_calibrated_minus_global_best_single,0.41925908774070025,0.5997444264696841,-0.1804853387289838,183.47810415155368,,,0.078974163727939,0.2594595024569229,-0.1804853387289839,True
pilot_test,film_cls_mean_concat_aux,power_temperature_T0p85,final_test_calibrated_minus_oracle_top1,0.41925908774070025,0.3402849240127611,0.07897416372793914,183.47810415155368,,,0.078974163727939,0.0,0.078974163727939,True
pilot_selection,film_cls_mean_concat_aux,power_temperature_T0p85,selection_calibrated_minus_original,0.3002237131836496,0.30048561321685713,-0.0002619000332075294,1.3156959195610727,1.313161917051582,0.0025340025094906515,0.03349250955159103,0.033754409584798535,-0.00026190003320750166,True
pilot_test,film_mean_patch_aux,power_temperature_T0p85,final_test_calibrated_minus_original,0.4175359229192325,0.4178239136798498,-0.0002879907606172516,183.36908559194532,183.35398509131247,0.015100500632854619,0.07725099890647133,0.0775389896670886,-0.0002879907606172655,True
pilot_test,film_mean_patch_aux,power_temperature_T0p85,final_test_calibrated_minus_round0_timefuse,0.4175359229192325,0.5352202928627874,-0.11768436994355486,183.36908559194532,568.5024010523083,-385.13331546036295,0.07725099890647133,0.1949353688500262,-0.11768436994355488,True
pilot_test,film_mean_patch_aux,power_temperature_T0p85,final_test_calibrated_minus_round0_original_visual,0.4175359229192325,0.6030090914993991,-0.18547316858016655,183.36908559194532,510.97595197005967,-327.6068663781143,0.07725099890647133,0.2627241674866379,-0.18547316858016658,True
pilot_test,film_mean_patch_aux,power_temperature_T0p85,final_test_calibrated_minus_visual_cls_mean_concat,0.4175359229192325,0.4430617988970811,-0.025525875977848556,183.36908559194532,244.2384871801001,-60.86940158815477,0.07725099890647133,0.1027768748843199,-0.02552587597784857,True
pilot_test,film_mean_patch_aux,power_temperature_T0p85,final_test_calibrated_minus_global_best_single,0.4175359229192325,0.5997444264696841,-0.18220850355045154,183.36908559194532,,,0.07725099890647133,0.2594595024569229,-0.18220850355045157,True
pilot_test,film_mean_patch_aux,power_temperature_T0p85,final_test_calibrated_minus_oracle_top1,0.4175359229192325,0.3402849240127611,0.07725099890647141,183.36908559194532,,,0.07725099890647133,0.0,0.07725099890647133,True
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,selection_calibrated_minus_original,0.30022966664635126,0.30039319729402064,-0.0001635306476693854,1.2953891780877798,1.2898715824288391,0.0055175956589406105,0.033498463014292636,0.03366199366196206,-0.00016353064766942704,True
pilot_test,visual_cls_mean_concat,power_temperature_T0p85,final_test_calibrated_minus_original,0.44157694111506035,0.4430617988970811,-0.001484857782020732,247.8446525696846,244.2384871801001,3.606165389584504,0.10129201710229928,0.1027768748843199,-0.001484857782020621,True
pilot_test,visual_cls_mean_concat,power_temperature_T0p85,final_test_calibrated_minus_round0_timefuse,0.44157694111506035,0.5352202928627874,-0.09364335174772703,247.8446525696846,568.5024010523083,-320.6577484826237,0.10129201710229928,0.1949353688500262,-0.09364335174772694,True
pilot_test,visual_cls_mean_concat,power_temperature_T0p85,final_test_calibrated_minus_round0_original_visual,0.44157694111506035,0.6030090914993991,-0.16143215038433872,247.8446525696846,510.97595197005967,-263.13129940037504,0.10129201710229928,0.2627241674866379,-0.1614321503843386,True
pilot_test,visual_cls_mean_concat,power_temperature_T0p85,final_test_calibrated_minus_visual_cls_mean_concat,0.44157694111506035,0.4430617988970811,-0.001484857782020732,247.8446525696846,244.2384871801001,3.606165389584504,0.10129201710229928,0.1027768748843199,-0.001484857782020621,True
pilot_test,visual_cls_mean_concat,power_temperature_T0p85,final_test_calibrated_minus_global_best_single,0.44157694111506035,0.5997444264696841,-0.15816748535462372,247.8446525696846,,,0.10129201710229928,0.2594595024569229,-0.1581674853546236,True
pilot_test,visual_cls_mean_concat,power_temperature_T0p85,final_test_calibrated_minus_oracle_top1,0.44157694111506035,0.3402849240127611,0.10129201710229924,247.8446525696846,,,0.10129201710229928,0.0,0.10129201710229928,True
pilot_selection,visual_cls_mean_concat,power_temperature_T0p85,selection_calibrated_minus_original,0.3019597439751735,0.30221999116533543,-0.000260247190161933,1.2327737521543742,1.2173165033494506,0.015457248804923607,0.035228540343114866,0.03548878753327684,-0.0002602471901619746,True
