stage,sample_set,variant,method,method_kind,seed_count,sample_count,MAE_mean,MAE_std,MSE_mean,MSE_std,regret_to_oracle_mean,regret_to_oracle_std,oracle_label_accuracy_mean,oracle_label_accuracy_std,weight_entropy_mean,weight_entropy_std,normalized_weight_entropy_mean,normalized_weight_entropy_std,mean_max_weight_mean,mean_max_weight_std,source_path
Round2 staged full-scale one_million,staged_diagnostic,spatial_panel_3view,spatial_panel_3view_hard_top1,hard_top1,1,262144,0.3101520522354272,0.0,1.102302663647193,0.0,0.0502352350754652,0.0,0.3756637573242187,0.0,1.1549543844541428,0.0,0.7176134936819603,0.0,0.4964470203453288,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_diagnostic_summary.csv
Round2 staged full-scale one_million,staged_diagnostic,current_rgb_3view,current_rgb_3view_hard_top1,hard_top1,1,262144,0.3139325980438954,0.0,1.116211469156506,0.0,0.0540157808839334,0.0,0.3734474182128906,0.0,1.1534559783122282,0.0,0.7166824764525173,0.0,0.491543240942633,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_diagnostic_summary.csv
Round2 staged full-scale one_million,staged_diagnostic,spatial_panel_3view,spatial_panel_3view_raw_soft_fusion,raw_soft_fusion,1,262144,0.2917259358091553,0.0,1.0285533112683347,0.0,0.0318091186491934,0.0,0.3756637573242187,0.0,1.1549543844541428,0.0,0.7176134936819603,0.0,0.4964470203453288,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_diagnostic_summary.csv
Round2 staged full-scale one_million,staged_diagnostic,current_rgb_3view,current_rgb_3view_raw_soft_fusion,raw_soft_fusion,1,262144,0.2957114004493988,0.0,1.04693128337837,0.0,0.0357945832894369,0.0,0.3734474182128906,0.0,1.1534559783122282,0.0,0.7166824764525173,0.0,0.491543240942633,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_diagnostic_summary.csv
Round2 staged full-scale one_million,staged_selection,spatial_panel_3view,spatial_panel_3view_hard_top1,hard_top1,1,262144,0.3171941197490163,0.0,1.2691075842852646,0.0,0.0511516472985719,0.0,0.3836212158203125,0.0,1.145170020853503,0.0,0.7115341268802278,0.0,0.5029305896064216,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_selection_layout_only.csv
Round1 reference,staged_selection,film_mean_patch_aux,film_mean_patch_aux_hard_top1,hard_top1,3,30000,0.3178284423188526,0.0004294630477382,1.3785996552211823,0.155790536850479,0.0510972386867939,0.0004294630477382,0.5521666666666666,0.1484924502383127,1.1359745164847483,0.0200917827608004,0.705820639405292,0.0124837299309119,0.5023525087240669,0.0066590426177055,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round1_film/round1_film_selection_comparison.csv
Round1 reference,staged_selection,film_cls_mean_concat_aux,film_cls_mean_concat_aux_hard_top1,hard_top1,3,30000,0.3182430259334695,0.0006026993326011,1.3640844043049054,0.1668949502713435,0.0515118223014108,0.0006026993326011,0.4653777777777777,0.1479154650968411,1.1294494181971122,0.0288932528745205,0.7017663694344529,0.017952387511516,0.5056179922216469,0.0138389723618829,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round1_film/round1_film_selection_comparison.csv
Round1 reference,staged_selection,visual_cls_mean_concat,visual_cls_mean_concat_hard_top1,hard_top1,3,30000,0.3208364584159612,0.0033885319716732,1.391805766162325,0.1768387983562084,0.0541052547839026,0.0033885319716732,0.5498777777777778,0.1599067830307997,1.1129568274017008,0.0235861724238636,0.6915189434301819,0.0146549155283531,0.5238133242002792,0.0117811548650106,/data2/syh/Time/run_outputs/2026-06-20_visual_router_v2_round1_visual_pooling/visual_pooling_selection_comparison.csv
Round2 staged full-scale one_million,staged_selection,current_rgb_3view,current_rgb_3view_hard_top1,hard_top1,1,262144,0.3219435761194759,0.0,1.524312765509792,0.0,0.0559011036690313,0.0,0.3816261291503906,0.0,1.1421795004604849,0.0,0.7096760071755623,0.0,0.4992167173414827,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_selection_layout_only.csv
Round0,staged_selection,Round0 TimeFuse,timefuse_hard_top1,hard_top1,1,30000,0.3349118007371308,0.0,1.4290991963340496,0.0,0.0681805971050722,0.0,0.5857666666666667,0.0,0.8556927856050857,0.0,0.5316718123336327,0.0,0.61870306733946,0.0,/data2/syh/Time/run_outputs/2026-06-20_visual_router_v2_round0/round0_selection_comparison.csv
Round0,staged_selection,Round0 original Visual,visual_router_hard_top1,hard_top1,1,30000,0.3562669052827483,0.0,1.3678260167063303,0.0,0.0895357016506898,0.0,0.5792,0.0,1.2924355396647664,0.0,0.8030353514601243,0.0,0.4396552807832757,0.0,/data2/syh/Time/run_outputs/2026-06-20_visual_router_v2_round0/round0_selection_comparison.csv
Round0,staged_selection,oracle_top1,oracle_top1,oracle,1,30000,0.2667312036320586,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,/data2/syh/Time/run_outputs/2026-06-20_visual_router_v2_round0/round0_selection_comparison.csv
Round2 staged full-scale one_million,staged_selection,spatial_panel_3view,spatial_panel_3view_raw_soft_fusion,raw_soft_fusion,1,262144,0.2998578451288766,0.0,1.186940034708284,0.0,0.0338153726784321,0.0,0.3836212158203125,0.0,1.145170020853503,0.0,0.7115341268802278,0.0,0.5029305896064216,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_selection_layout_only.csv
Round1 reference,staged_selection,film_mean_patch_aux,film_mean_patch_aux_raw_soft_fusion,raw_soft_fusion,3,30000,0.3003931976794061,0.0005415206000238,1.28987162021779,0.1646497573801887,0.0336619940473476,0.0005415206000238,0.5521666666666666,0.1484924502383127,1.1359745164847483,0.0200917827608004,0.705820639405292,0.0124837299309119,0.5023525087240669,0.0066590426177055,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round1_film/round1_film_selection_comparison.csv
Round1 reference,staged_selection,film_cls_mean_concat_aux,film_cls_mean_concat_aux_raw_soft_fusion,raw_soft_fusion,3,30000,0.3004856132007154,0.0008585233519499,1.3131619294091366,0.168121702241535,0.0337544095686568,0.0008585233519499,0.4653777777777777,0.1479154650968411,1.1294494181971122,0.0288932528745205,0.7017663694344529,0.017952387511516,0.5056179922216469,0.0138389723618829,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round1_film/round1_film_selection_comparison.csv
Round1 reference,staged_selection,visual_cls_mean_concat,visual_cls_mean_concat_raw_soft_fusion,raw_soft_fusion,3,30000,0.3022199910361149,0.0039292078215832,1.2173165101747008,0.1187082200475501,0.0354887874040563,0.0039292078215832,0.5498777777777778,0.1599067830307997,1.1129568274017008,0.0235861724238636,0.6915189434301819,0.0146549155283531,0.5238133242002792,0.0117811548650106,/data2/syh/Time/run_outputs/2026-06-20_visual_router_v2_round1_visual_pooling/visual_pooling_selection_comparison.csv
Round2 staged full-scale one_million,staged_selection,current_rgb_3view,current_rgb_3view_raw_soft_fusion,raw_soft_fusion,1,262144,0.3050327112302755,0.0,1.4411778761529446,0.0,0.038990238779831,0.0,0.3816261291503906,0.0,1.1421795004604849,0.0,0.7096760071755623,0.0,0.4992167173414827,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_selection_layout_only.csv
Round0,staged_selection,Round0 TimeFuse,timefuse_raw_soft_fusion,raw_soft_fusion,1,30000,0.3175300871360582,0.0,1.370166538406871,0.0,0.0507988835039996,0.0,0.5857666666666667,0.0,0.8556927856050857,0.0,0.5316718123336327,0.0,0.61870306733946,0.0,/data2/syh/Time/run_outputs/2026-06-20_visual_router_v2_round0/round0_selection_comparison.csv
Round0,staged_selection,Round0 original Visual,visual_router_raw_soft_fusion,raw_soft_fusion,1,30000,0.3340686610330374,0.0,1.1818307686574423,0.0,0.0673374574009788,0.0,0.5792,0.0,1.2924355396647664,0.0,0.8030353514601243,0.0,0.4396552807832757,0.0,/data2/syh/Time/run_outputs/2026-06-20_visual_router_v2_round0/round0_selection_comparison.csv
Round0,staged_selection,global_best_single,global_best_single,single,1,30000,0.3578202631884002,0.0,,0.0,0.0910890595563416,0.0,0.3096666666666666,0.0,,0.0,,0.0,,0.0,/data2/syh/Time/run_outputs/2026-06-20_visual_router_v2_round0/round0_selection_comparison.csv
Round2 staged full-scale one_million,staged_test,spatial_panel_3view,spatial_panel_3view_hard_top1,hard_top1,1,262144,0.4276299487060525,0.0,175.8899882919069,0.0,0.086512056950048,0.0,0.3344612121582031,0.0,1.1357385920651168,0.0,0.705674050853865,0.0,0.50517619962352,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_test_summary.csv
Round2 staged full-scale one_million,staged_test,current_rgb_3view,current_rgb_3view_hard_top1,hard_top1,1,262144,0.435679904279532,0.0,175.7467242033194,0.0,0.0945620125235275,0.0,0.3230552673339844,0.0,1.124793997149833,0.0,0.6988737863924257,0.0,0.5126848581891181,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_test_summary.csv
Round2 staged full-scale one_million,staged_test,spatial_panel_3view,spatial_panel_3view_raw_soft_fusion,raw_soft_fusion,1,262144,0.4128115751322085,0.0,175.72004332811815,0.0,0.0716936833762041,0.0,0.3344612121582031,0.0,1.1357385920651168,0.0,0.705674050853865,0.0,0.50517619962352,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_test_summary.csv
Round2 staged full-scale one_million,staged_test,current_rgb_3view,current_rgb_3view_raw_soft_fusion,raw_soft_fusion,1,262144,0.4208501357718179,0.0,175.64270108482327,0.0,0.0797322440158135,0.0,0.3230552673339844,0.0,1.124793997149833,0.0,0.6988737863924257,0.0,0.5126848581891181,0.0,/data2/syh/Time/run_outputs/2026-06-24_visual_router_v2_round2_1m_staged_seed16_gate/round2_staged_fullscale_test_summary.csv
