row_type,tail_name,tail_basis_system,evaluated_system,tail_metric,quantile,threshold,sample_count,tail_overlap_count,tail_union_count,tail_overlap_jaccard,mean_soft_MAE,mean_soft_MSE,mean_regret,mean_hard_top1_MAE,oracle_label_accuracy,weight_entropy,mean_max_weight,category,count,ratio
summary,top_1pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,7.5054276428487565,18283.32401507131,2.191739935485905,7.578684887031714,0.28444444444444444,0.952718031491716,0.6167515536480479,,,
summary,top_1pct_soft_MAE,round1_film_mean_patch_aux,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,7.107567174441284,18224.24976664275,1.793879467078433,7.20613794189469,0.3275555555555555,0.9036291913414651,0.6338978712558746,,,
oracle_model_distribution,top_1pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,,,,,,,,CrossFormer,103,0.13733333333333334
oracle_model_distribution,top_1pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,,,,,,,,DLinear,125,0.16666666666666666
oracle_model_distribution,top_1pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,,,,,,,,ES,167,0.22266666666666668
oracle_model_distribution,top_1pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,,,,,,,,NaiveForecaster,87,0.116
oracle_model_distribution,top_1pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,,,,,,,,PatchTST,268,0.35733333333333334
selected_model_distribution,top_1pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,,,,,,,,CrossFormer,39,0.052
selected_model_distribution,top_1pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,,,,,,,,DLinear,78,0.104
selected_model_distribution,top_1pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,,,,,,,,ES,257,0.3426666666666667
selected_model_distribution,top_1pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,,,,,,,,NaiveForecaster,95,0.12666666666666668
selected_model_distribution,top_1pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.191955221494037,750,658,842,0.7814726840855107,,,,,,,,PatchTST,281,0.37466666666666665
summary,top_1pct_soft_MAE,round2_spatial_panel_3view,round1_film_mean_patch_aux,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,7.393183587852172,18282.724411862608,2.0727732725372428,7.439195368501874,0.31511111111111106,0.9350260460874918,0.6254186112814479,,,
summary,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,7.224403351843357,18225.64457625596,1.9039930365284283,7.34824565028482,0.2866666666666667,0.9078714381469806,0.6313896631466017,,,
oracle_model_distribution,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,,,,,,,,CrossFormer,105,0.14
oracle_model_distribution,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,,,,,,,,DLinear,123,0.164
oracle_model_distribution,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,,,,,,,,ES,178,0.23733333333333334
oracle_model_distribution,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,,,,,,,,NaiveForecaster,96,0.128
oracle_model_distribution,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,,,,,,,,PatchTST,248,0.33066666666666666
selected_model_distribution,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,,,,,,,,CrossFormer,45,0.06
selected_model_distribution,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,,,,,,,,DLinear,97,0.12933333333333333
selected_model_distribution,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,,,,,,,,ES,208,0.2773333333333333
selected_model_distribution,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,,,,,,,,NaiveForecaster,74,0.09866666666666667
selected_model_distribution,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,,,,,,,,PatchTST,326,0.43466666666666665
summary,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,2.6994703062189953,3660.2039864495955,0.7004495120595009,2.7411405456430384,0.2670222222222222,1.0408158549663848,0.5762854734804896,,,
summary,top_5pct_soft_MAE,round1_film_mean_patch_aux,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,2.5924843495190144,3648.369533278576,0.5934635553595202,2.639534873279264,0.30275555555555556,0.9913192002247899,0.5913237935370869,,,
oracle_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,CrossFormer,719,0.19173333333333334
oracle_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,DLinear,733,0.19546666666666668
oracle_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,ES,859,0.22906666666666667
oracle_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,NaiveForecaster,365,0.09733333333333333
oracle_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,PatchTST,1074,0.2864
selected_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,CrossFormer,215,0.05733333333333333
selected_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,DLinear,495,0.132
selected_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,ES,848,0.22613333333333333
selected_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,NaiveForecaster,349,0.09306666666666667
selected_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,PatchTST,1843,0.49146666666666666
summary,top_5pct_soft_MAE,round2_spatial_panel_3view,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,2.6652094345611683,3660.0617937248735,0.6607026654591949,2.6949307869482366,0.2976,1.0296973703848662,0.5817674110823208,,,
summary,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,2.6300951852216494,3648.5654795840073,0.6255884161196753,2.685260928587998,0.2831111111111111,0.9972064267304709,0.5888278977168931,,,
oracle_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,CrossFormer,708,0.1888
oracle_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,DLinear,765,0.204
oracle_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,ES,852,0.2272
oracle_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,NaiveForecaster,362,0.09653333333333333
oracle_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,PatchTST,1063,0.28346666666666664
selected_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,CrossFormer,327,0.0872
selected_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,DLinear,532,0.14186666666666667
selected_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,ES,791,0.21093333333333333
selected_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,NaiveForecaster,321,0.0856
selected_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,PatchTST,1779,0.4744
summary,top_1pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,4.712643865144915,378.0859604918038,2.619190969621973,4.839259551601847,0.14177777777777775,0.8969819869259172,0.6429330130285686,,,
summary,top_1pct_regret,round1_film_mean_patch_aux,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,4.165971720704602,318.32212179021604,2.07251882518166,4.2693408670611,0.2613333333333333,0.8633977989831942,0.6533477697902257,,,
oracle_model_distribution,top_1pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,,,,,,,,CrossFormer,76,0.10133333333333333
oracle_model_distribution,top_1pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,,,,,,,,DLinear,97,0.12933333333333333
oracle_model_distribution,top_1pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,,,,,,,,ES,274,0.36533333333333334
oracle_model_distribution,top_1pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,,,,,,,,NaiveForecaster,119,0.15866666666666668
oracle_model_distribution,top_1pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,,,,,,,,PatchTST,184,0.24533333333333332
selected_model_distribution,top_1pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,,,,,,,,CrossFormer,31,0.04133333333333333
selected_model_distribution,top_1pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,,,,,,,,DLinear,55,0.07333333333333333
selected_model_distribution,top_1pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,,,,,,,,ES,229,0.30533333333333335
selected_model_distribution,top_1pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,,,,,,,,NaiveForecaster,115,0.15333333333333332
selected_model_distribution,top_1pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7473192910430942,750,502,998,0.503006012024048,,,,,,,,PatchTST,320,0.4266666666666667
summary,top_1pct_regret,round2_spatial_panel_3view,round1_film_mean_patch_aux,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,4.497753233119359,373.5763490183874,2.3769839707062252,4.552598802097422,0.23288888888888887,0.8877636782618186,0.6465321818259027,,,
summary,top_1pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,4.423195303548128,319.27391684031784,2.3024260411349946,4.596699817717405,0.1608888888888889,0.875817606860388,0.646599480536249,,,
oracle_model_distribution,top_1pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,,,,,,,,CrossFormer,79,0.10533333333333333
oracle_model_distribution,top_1pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,,,,,,,,DLinear,113,0.15066666666666667
oracle_model_distribution,top_1pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,,,,,,,,ES,265,0.35333333333333333
oracle_model_distribution,top_1pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,,,,,,,,NaiveForecaster,128,0.17066666666666666
oracle_model_distribution,top_1pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,,,,,,,,PatchTST,165,0.22
selected_model_distribution,top_1pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,,,,,,,,CrossFormer,51,0.068
selected_model_distribution,top_1pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,,,,,,,,DLinear,81,0.108
selected_model_distribution,top_1pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,,,,,,,,ES,182,0.24266666666666667
selected_model_distribution,top_1pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,,,,,,,,NaiveForecaster,76,0.10133333333333333
selected_model_distribution,top_1pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.99,0.7041894886394312,750,502,998,0.503006012024048,,,,,,,,PatchTST,360,0.48
summary,top_5pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,1.8704466922998428,77.97901595067454,0.887476043160107,1.9399828721544101,0.1488,1.0190421722618863,0.5868160387555759,,,
summary,top_5pct_regret,round1_film_mean_patch_aux,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,1.7092973944133734,65.9679851079946,0.7263267452736375,1.7604947221053002,0.2564444444444445,0.975999916770624,0.5980417515370581,,,
oracle_model_distribution,top_5pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,,,,,,,,CrossFormer,607,0.16186666666666666
oracle_model_distribution,top_5pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,,,,,,,,DLinear,595,0.15866666666666668
oracle_model_distribution,top_5pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,,,,,,,,ES,1273,0.3394666666666667
oracle_model_distribution,top_5pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,,,,,,,,NaiveForecaster,560,0.14933333333333335
oracle_model_distribution,top_5pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,,,,,,,,PatchTST,715,0.19066666666666668
selected_model_distribution,top_5pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,,,,,,,,CrossFormer,246,0.0656
selected_model_distribution,top_5pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,,,,,,,,DLinear,437,0.11653333333333334
selected_model_distribution,top_5pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,,,,,,,,ES,798,0.2128
selected_model_distribution,top_5pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,,,,,,,,NaiveForecaster,317,0.08453333333333334
selected_model_distribution,top_5pct_regret,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.31310754964749027,3750,2696,4804,0.5611990008326395,,,,,,,,PatchTST,1952,0.5205333333333333
summary,top_5pct_regret,round2_spatial_panel_3view,round1_film_mean_patch_aux,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,1.8246102442004262,78.14287765395352,0.8107071224979779,1.875140336477163,0.2142222222222222,1.000387122523087,0.5948794131941265,,,
summary,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,1.8164553603890214,66.74724611042076,0.8025522386865731,1.8960049778193302,0.1686222222222222,0.9873273008738259,0.5925700651009878,,,
oracle_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,CrossFormer,582,0.1552
oracle_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,DLinear,684,0.1824
oracle_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,ES,1211,0.32293333333333335
oracle_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,NaiveForecaster,594,0.1584
oracle_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,PatchTST,679,0.18106666666666665
selected_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,CrossFormer,389,0.10373333333333333
selected_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,DLinear,445,0.11866666666666667
selected_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,ES,773,0.20613333333333334
selected_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,NaiveForecaster,291,0.0776
selected_model_distribution,top_5pct_regret,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_regret,0.95,0.29857236742973337,3750,2696,4804,0.5611990008326395,,,,,,,,PatchTST,1852,0.4938666666666667
